年份,获奖国家,国家代码,Gold,Silver,Bronze
1924,United States,USA,1,2,1
1924,Great Britain,GBR,1,1,2
1924,Austria,AUT,2,1,0
1924,Norway,NOR,4,7,6
1924,Finland,FIN,4,4,3
1924,France,FRA,0,0,3
1924,Belgium,BEL,0,0,1
1924,Switzerland,SUI,2,0,1
1924,Canada,CAN,1,0,0
1924,Sweden,SWE,1,1,0
1928,Sweden,SWE,2,2,1
1928,Finland,FIN,2,1,1
1928,Canada,CAN,1,0,0
1928,Czechoslovakia,TCH,0,0,1
1928,Norway,NOR,6,4,5
1928,United States,USA,2,2,2
1928,Great Britain,GBR,0,0,1
1928,Switzerland,SUI,0,0,1
1928,Belgium,BEL,0,0,1
1928,France,FRA,1,0,0
1928,Austria,AUT,0,3,1
1928,Germany,GER,0,0,1
1932,Sweden,SWE,1,2,0
1932,Canada,CAN,1,1,5
1932,United States,USA,6,4,2
1932,Norway,NOR,3,4,3
1932,Finland,FIN,1,1,1
1932,Germany,GER,0,0,2
1932,Hungary,HUN,0,0,1
1932,Switzerland,SUI,0,1,0
1932,Austria,AUT,1,1,0
1932,France,FRA,1,0,0
1936,Finland,FIN,1,2,3
1936,Switzerland,SUI,1,2,0
1936,Sweden,SWE,2,2,3
1936,Norway,NOR,7,5,3
1936,Germany,GER,3,3,0
1936,Canada,CAN,0,1,0
1936,France,FRA,0,0,1
1936,Hungary,HUN,0,0,1
1936,Austria,AUT,1,1,2
1936,Great Britain,GBR,1,1,1
1936,United States,USA,1,0,3
1948,France,FRA,2,1,2
1948,Canada,CAN,2,0,1
1948,Sweden,SWE,4,3,3
1948,Switzerland,SUI,3,4,3
1948,United States,USA,3,4,2
1948,Austria,AUT,1,3,4
1948,Hungary,HUN,0,1,0
1948,Great Britain,GBR,0,0,2
1948,Czechoslovakia,TCH,0,1,0
1948,Finland,FIN,1,3,2
1948,Italy,ITA,1,0,0
1948,Norway,NOR,4,3,3
1948,Belgium,BEL,1,1,0
1952,Germany,GER,3,2,2
1952,Austria,AUT,2,4,2
1952,Italy,ITA,1,0,1
1952,Norway,NOR,7,3,6
1952,United States,USA,4,6,1
